id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
1915882;LetsgoBarcelona Paseo de Gracia Duplex;3972936;Willem;Eixample;la Dreta de l'Eixample;4138843;216954;Entire home/apt;360;4;135;15/6/2024 19:00;104;17;43;12
1916455;BIG APARTMENT NEXT TO LA PEDRERA;9938297;Alicia, Ignacio & Carlos;Eixample;la Dreta de l'Eixample;4139562;216348;Entire home/apt;528;3;243;24/8/2024 19:00;187;2;338;28
1920941;Luxurious & Loving Apartment;9935841;Sheila;Les Corts;les Corts;4138421;213856;Entire home/apt;228;4;72;29/7/2024 19:00;55;1;235;14
1921353;AMAZING PENTHOUSE RAMBLAS! DAILY CLEANING!;4064440;En Ville;Eixample;Sant Antoni;4138384;216383;Entire home/apt;342;1;367;20/8/2024 19:00;322;15;233;62
1926867;FIRST LINE BEACH. 6 PAX;7758783;Luis;Sant Martí;la Vila Olímpica del Poblenou;4139093;219931;Entire home/apt;313;3;196;17/8/2024 19:00;155;1;317;18
1933025;Barcelona Reloaded.;8344816;Antonio J;Sant Martí;el Camp de l'Arpa del Clot;4140944;218267;Entire home/apt;135;2;631;18/8/2024 19:00;492;1;103;76
1933923;Apartment Sagrada Familia, shared rooftop w/ views;10009096;Ariadna;Eixample;la Dreta de l'Eixample;4140213;216996;Entire home/apt;280;3;76;10/8/2024 19:00;58;3;361;7
2184062;Elegant Apartment in City Center;11138605;Bruno;Eixample;l'Antiga Esquerra de l'Eixample;4138898;215727;Entire home/apt;253;3;478;18/8/2024 19:00;382;3;295;67
2186401;Apartment in a good location in BCN;9141076;Alicia;Gràcia;el Camp d'en Grassot i Gràcia Nova;4140631;216225;Entire home/apt;230;5;203;26/8/2024 19:00;159;1;39;19
2187751;Penthouse with sunny terrace, 2p +1;8304893;Anna Maria;Eixample;el Fort Pienc;4139351;217831;Entire home/apt;230;5;313;26/8/2024 19:00;253;3;126;41
2199431;Triomf Terrace Panoramic View - Wifi/Private/Clean;400154;Mireia;Eixample;el Fort Pienc;4139377;218068;Entire home/apt;142;3;245;3/9/2024 19:00;197;10;55;46
2207843;Quirky 2 Bed Penthouse + Terraces;342871616;Destination BCN - Urgell Penthouse;Eixample;Sant Antoni;413815;215905;Entire home/apt;393;2;105;4/9/2024 19:00;85;1;147;29
2219606;Habitación interior Plaza Sagrada Familia (MES);10884463;Maria Esther;Eixample;la Sagrada Família;4140296;217306;Private room;32;29;24;3/8/2024 19:00;37;1;29;2
2220119;Modernism and comfort in a strategic location;3556337;Alejandro;Eixample;la Nova Esquerra de l'Eixample;4138551;214805;Entire home/apt;163;1;628;21/8/2024 19:00;487;66;293;45
2224719;Letsgo Barcelona Las Ramblas with Terrace 4pax.;3972936;Willem;Eixample;la Dreta de l'Eixample;4138843;216954;Entire home/apt;328;2;104;7/11/2023 19:00;83;17;303;1
2237750;Close to Sagrada Familia, Park Güell;11426239;Dolors & Enric;Horta-Guinardó;el Baix Guinardó;4140855;216888;Entire home/apt;130;2;422;25/8/2024 19:00;366;3;164;65
2245593;"The other flat ""Sagrada Familia""";11283016;Esther;Eixample;la Sagrada Família;4140764;217033;Entire home/apt;200;7;85;21/6/2024 19:00;77;1;79;8
2248576;Lucky Sagrada Familia****4 Bedrooms**** Best views;11482245;Cristina;Eixample;la Sagrada Família;4140113;217355;Entire home/apt;219;3;342;22/8/2024 19:00;270;2;101;53
2256064;Charm and Privacy in Gothic Quarter - Central Apt;5543127;Vicky & Agus;Ciutat Vella;el Barri Gòtic;413846;217163;Entire home/apt;70;31;213;28/6/2023 19:00;169;14;333;0
2263681;Apartment-terrace with amazing view HUTB-009273;8041861;Manuel;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4140073;213917;Entire home/apt;130;2;378;31/8/2024 19:00;295;1;152;43
2265321;Penthouse in the center close to ramblas;1432835;Angel;Eixample;l'Antiga Esquerra de l'Eixample;413852;216231;Entire home/apt;245;4;247;8/8/2024 19:00;198;45;50;48
2268067;Find Calm at this cozy City Sanctuary with terrace;131794;Damien;Eixample;la Dreta de l'Eixample;4139704;216838;Entire home/apt;322;1;213;1/6/2024 19:00;167;22;35;10
2282469;Tranquilo apartamento familiar en el centro;11657346;Oriol;Sants-Montjuïc;el Poble Sec;4137196;216278;Entire home/apt;165;3;453;11/8/2024 19:00;352;6;111;46
2288221;Elegant apartment in the heart of the city;71615;Mireia  Maria;Eixample;Sant Antoni;4137721;216429;Entire home/apt;209;1;236;21/8/2024 19:00;186;28;69;34
2292917;GREAT APARTMENT IN THE EIXAMPLE;2688205;Mònica;Eixample;la Dreta de l'Eixample;4139142;217049;Entire home/apt;400;3;321;2/9/2024 19:00;261;12;271;39
2293777;Relaxed, Spacious Loft with Jetted Tub;5070884;Laia;Eixample;l'Antiga Esquerra de l'Eixample;4138915;215806;Entire home/apt;272;1;598;4/9/2024 19:00;465;3;321;58
2307557;Luxury. 10th floor. Paseo de Gracia;674212;Juanmi;Eixample;la Dreta de l'Eixample;4138891;216991;Entire home/apt;218;3;328;22/8/2024 19:00;260;5;277;62
2307905;Modern & Centric Flat with Wi-Fi;2916484;Andrea;Sants-Montjuïc;el Poble Sec;4137359;215675;Entire home/apt;135;3;398;3/9/2024 19:00;311;1;160;47
2308139;Luxury for 6. Rambla / Diputació.;674212;Juanmi;Eixample;la Dreta de l'Eixample;4138919;216612;Entire home/apt;386;3;369;16/8/2024 19:00;288;5;265;64
2311660;Beautiful studio Ciutadella park;11806249;Marta;Sant Martí;el Parc i la Llacuna del Poblenou;4139289;218662;Entire home/apt;65;30;150;28/6/2024 19:00;121;1;153;3
2319608;New cozy apartment, Sagrada Familia, city center;11846024;Cathrin Schroeder;Eixample;el Fort Pienc;4139936;217847;Entire home/apt;197;3;170;11/7/2024 19:00;133;1;303;20
2324304;Comfortable duplex + patio in Gràcia!;1141201;Ricard;Gràcia;la Vila de Gràcia;4139863;216157;Entire home/apt;187;3;373;28/8/2024 19:00;306;5;153;41
2327444;GREAT LOCATION IN GRACIA;3465149;Jordi;Gràcia;la Vila de Gràcia;4140487;215676;Entire home/apt;223;3;182;2/9/2024 19:00;217;5;265;50
2329405;Barcelona center·sea view·port vell.Free Wifi.;11898236;Lluis Y Nuria;Ciutat Vella;el Raval;4137343;217585;Entire home/apt;255;3;244;14/8/2024 19:00;190;1;148;36
2333994;Pepe´s place in downtown Barcelona;11922783;Josep;Ciutat Vella;el Raval;4137646;216662;Entire home/apt;162;5;277;24/8/2024 19:00;218;1;296;54
2342332;Sagrada Familia Bliss;2439400;KeyBarcelona;Eixample;la Sagrada Família;4140582;217556;Entire home/apt;180;1;17;6/11/2023 19:00;18;28;125;2
2343336;Beautiful house with terrace in BCN;5057234;Pablo;Gràcia;la Salut;4141215;215342;Entire home/apt;110;4;254;23/8/2024 19:00;203;3;164;51
2348604;Apartment in downtown Marina Street;11994044;Paola;Sant Martí;el Parc i la Llacuna del Poblenou;4139347;218836;Entire home/apt;140;2;264;30/8/2024 19:00;210;3;306;43
2351233;Attic in Paseo de Gracia;12006146;Txell;Eixample;la Dreta de l'Eixample;4138788;217064;Entire home/apt;326;2;550;21/8/2024 19:00;429;2;267;57
